"","x"
"167","@trencherman333 @dsch1954 @marinamaral2 @PressSec Oh a typical know it all Brit. Of course you would be an anti Pal… https://t.co/W7w3i1N1l1"
"168","@MaxVeritas7 @Frank_Turek @PublicDiscourse Pardon me if I don't get my morality from a book that justifies slavery,… https://t.co/UQIjSIgqzC"
"169","@Nathorix rape nation"
"170","@rickreaction @jockviolence I'll say Paul Barker was way more influential than Al.
Land of Rape and Honey was a leg… https://t.co/KLyubzROKz"
"171","@thunderf00t i agree that he doesn't look ""aryan"", and ""white black people"" doesn't make any sense... but what exac… https://t.co/zSTjs2itTX"
"172","@ConnTaurinus @RandyLe15721271 European men wear dresses to protest muslims raping their women. Yes, that's the bes… https://t.co/Zl01JxhbFq"
"173","The Ross's in Haddock,Gas in Milledgeville,Gas Curtis done been with all of them and he rape them all."
"174","@Fouwst @AuthorKimberley @Alyssa_Milano As we have seen, what can be considered rape and what can be proven are two… https://t.co/i5vqqGTD3e"
"175","#ImpeachmentNOW been regularly posting this hashtag for 2 years but I'm hoping now that whole #ObstructionOfJustice… https://t.co/FHGbqJ03PN"
"176","@pooroldkilgore Whether it is natural or not is irrelevant to the question of morality anyway. Rape also occurs in… https://t.co/8jxcCAnpw6"
"177","Boyfriend's horror as he's left helplessly watching girl's rape on his phone https://t.co/ZPW4JANcIZ https://t.co/HFTib2Wg7q"
"178","@CharleneTagoeEa @SPQRMCMLXIX @getready21stC @johnzaremba3 @SenSchumer The country was divided before he got electe… https://t.co/4YMWLJ7W15"
"179","@911CORLEBRA777 @thespybrief @LouiseMensch @JamesFourM @lauferlaw ""Democracy: it's running hackers in foreign count… https://t.co/ienxPk2Tvg"
"180","#NusratJahanRafi was brutally Raped and then she was brutally murdered for reporting the Rape. This isn't the first… https://t.co/zTeRyUJUct"
"181","Had a talk yesterday with a patien lady  who gracefully took her time to explain a lot of things to me from sexual… https://t.co/N1d92MyJ1T"
"182","Amber Wyatt talked to Elizabeth Breunig from the Washington Post about her own rape.
She is far more admirable and… https://t.co/cJRbehjdBS"
